"LIBRARYREFERENCE","FOOTPRINT1","A MAX","B","CHARGE","COMMENT","CURRENT","ID","MAX IF","MAX OUTPUT CURRENT","MAX VF","PACKAGE","PART NUMBER","PARTNUMBER","POWER","RES","RESISTANCE @ 25C","RON","TOLERANCE","TRIP VALUE","VALUE","VDS MAX","VDSS","VF","VGS","VOLTAGE","VOUTPUT MAX","WATT","SHEETPART","DESIGNATOR","DESCRIPTION"
"CAP_??CL05A104KA5NNNC?","CAP_0402","","","","CAP_??CL05A104KA5NNNC?","","","","","","0402","CL05A104KA5NNNC?","","","","","","","","0.1uF","","","","","25V","","","*","C?","CAP CER 0.1uF 25V 0402"
"CAP_??CL31A226KAHNNNE?","CAP_1206","","","","CAP_??CL31A226KAHNNNE?","","","","","","1206","CL31A226KAHNNNE?","","","","","","","","22uF","","","","","25V","","","*","C?","CAP CER 22uF 25V 1206"
"CAP_??GRM188R61E225KA12D?","CAP_0603","","","","CAP_??GRM188R61E225KA12D?","","","","","","0603","GRM188R61E225KA12D?","","","","","","","","2.2uF","","","","","25V","","","*","C?","CAP CER 2.2uF 25V 0603"
"CAP_???C0402C473K3RACAUTO?","CAP_0402","","","","CAP_???C0402C473K3RACAUTO?","","","","","","0402","?C0402C473K3RACAUTO?","","","","","","","","0.047uF","","","","","25V","","","*","C?","CAP CER 0.047uF 25V 0402"
"CAP_???C0805C430J5GAC7800","CAP_0805","","","","CAP_???C0805C430J5GAC7800","","","","","","0805","C0805C430J5GAC7800","","","","","","5%","","43pF","","","","","50V","","","*","C?","CAP CER 43pF 50V 0805"
"CAP_???C0805C473K5RACTU","CAP_0805","","","","CAP_???C0805C473K5RACTU","","","","","","0805","C0805C473K5RACTU","","","","","","10%","","0.047uF","","","","","50V","","","*","C?","CAP CER 0.047uF 50V 0805"
"CAP_???C1608X5R1E685K080AC","CAP_0603","","","","CAP_???C1608X5R1E685K080AC","","","","","","0603","C1608X5R1E685K080AC","","","","","","","","6.8uF","","","","","25V","","","*","C?","CAP CER 6.8uF 25V 0603"
"CAP_????CC0402KRX7R8BB101?","CAP_0402","","","","CAP_????CC0402KRX7R8BB101?","","","","","","0402","CC0402KRX7R8BB101?","","","","","","","","100pF","","","","","25V","","","*","C?","CAP CER 100pF 25V 0402"
"CAP_????CL21B103KBANNNC","CAP_0805","","","","CAP_????CL21B103KBANNNC","","","","","","0805","?CL21B103KBANNNC","","","","","","","","10000pF","","","","","50V","","","*","C?","CAP CER 10000pF 50V 0805"
"CAP_????CL21B105KAFNNNE?","CAP_0805","","","","CAP_????CL21B105KAFNNNE?","","","","","","0805","CL21B105KAFNNNE?","","","","","","","","1uF","","","","","25V","","","*","C?","CAP CER 1uF 25V 0805"
"CONN_JACK-L-PC-10A-RA(R)","Barrel 5.5mm 2.5mm","","","","*","","","","","","","JACK-L-PC-10A-RA(R)","","","","","","","","","","","","","","","","*","J?","Jack 5.5x2.5mm"
"DIGI_TR_IMD2A","IMD2A","","","","*","","","","","","","IMD2A","","","","","","","","","","","","","","","","*","*","Dual digital Transistor"
"DIODE","","","","","*","?A","","","","","","?","","","","","","","","","","","Vf =?V","","","","","*","D?",""
"DIODE BAT54","","","","","*","?A","","","","","","BAT54","","","","","","","","","","","Vf =?V","","","","","*","D?",""
"DIODE ZENER","","","","","*","?A","","","","","","?","","? W","","","","","","","","","Vr =?V","","","","","*","D?",""
"DIODE_BAT54C","BAT54C","","","","*","","","","","","","BAT54C","","","","","","","","","","","","","","","","*","D?","Dual input Diode"
